message_id,aspect,sentiment
<CAJ3fcbC20HR63w8R1MTtONhp4wKgFEVwdZyZHzgoCf_kkhuTBQ@mail.gmail.com>,structured streaming,positive
<CAJ3fcbC20HR63w8R1MTtONhp4wKgFEVwdZyZHzgoCf_kkhuTBQ@mail.gmail.com>,streaming query,neutral
<CAJ3fcbC20HR63w8R1MTtONhp4wKgFEVwdZyZHzgoCf_kkhuTBQ@mail.gmail.com>,latency,neutral
<CAEG50Ls6xOUGvA3msOMAcKo6ddDkO5ibRCf=dfGuQFONCwvL6w@mail.gmail.com>,structured streaming,neutral
<CAEG50Ls6xOUGvA3msOMAcKo6ddDkO5ibRCf=dfGuQFONCwvL6w@mail.gmail.com>,micro-,neutral
<CAEG50Ls6xOUGvA3msOMAcKo6ddDkO5ibRCf=dfGuQFONCwvL6w@mail.gmail.com>,streaming query,neutral
<CAEG50Ls6xOUGvA3msOMAcKo6ddDkO5ibRCf=dfGuQFONCwvL6w@mail.gmail.com>,latency,neutral
<CAJ3fcbBiUUw4OuKuyki8rxPr-y=Xfw+F89Z7E+H4XwXMUY5sCQ@mail.gmail.com>,structured streaming,positive
<CAJ3fcbBiUUw4OuKuyki8rxPr-y=Xfw+F89Z7E+H4XwXMUY5sCQ@mail.gmail.com>,"structured
",positive
<CALFm=fxvO7Sf1ursqwz5+NhURWgeBdZV+8sYhg3eFgXwMdE70w@mail.gmail.com>,structured streaming,positive
<CAJ3fcbBJAvCqW6biGtTKiWP+KA2rHS7eeseA+fnpenwdHXtttg@mail.gmail.com>,"structured
",neutral
<CAJ3fcbBJAvCqW6biGtTKiWP+KA2rHS7eeseA+fnpenwdHXtttg@mail.gmail.com>,structured streaming,neutral
<CAJ3fcbBJAvCqW6biGtTKiWP+KA2rHS7eeseA+fnpenwdHXtttg@mail.gmail.com>,dataframe,neutral
<CAJ3fcbBJAvCqW6biGtTKiWP+KA2rHS7eeseA+fnpenwdHXtttg@mail.gmail.com>,data streaming,positive
<CAFX8L20=JWFhMbFhbd98_fnN+0FswronK5YtqwmpVqLzZc6Ztw@mail.gmail.com>,structured streaming,neutral
<CAJ3fcbBMwMfpYAxcxaEZhkr+voXV-pvMoLXF4HN==b-A9_xZjA@mail.gmail.com>,"structured
",positive
<CAJ3fcbBMwMfpYAxcxaEZhkr+voXV-pvMoLXF4HN==b-A9_xZjA@mail.gmail.com>,spark streaming,neutral
<CAJ3fcbBMwMfpYAxcxaEZhkr+voXV-pvMoLXF4HN==b-A9_xZjA@mail.gmail.com>,pyspark,neutral
<CAJ3fcbBMwMfpYAxcxaEZhkr+voXV-pvMoLXF4HN==b-A9_xZjA@mail.gmail.com>,stream,neutral
<CAJ3fcbBMwMfpYAxcxaEZhkr+voXV-pvMoLXF4HN==b-A9_xZjA@mail.gmail.com>,latency,neutral
<CAN5DFmeOJvfUXd1RSAsx4akbrSrQYr0tuTjiXTr=HZcumVxJXQ@mail.gmail.com>,structured streaming,positive
<CABvqBf=gVgT4x21KeEbHtFso06OvJR6jZ4gziQhrHk0RJp7wAg@mail.gmail.com>,structured streaming,positive
"
 <ME3PR01MB64504CFA4FF550AC1F7402C3B5722@ME3PR01MB6450.ausprd01.prod.outlook.com>",structured streaming,positive
"
 <ME3PR01MB64504CFA4FF550AC1F7402C3B5722@ME3PR01MB6450.ausprd01.prod.outlook.com>",dynamic allocation,negative
<CAFg=UHNs3HtBpWw52aKE0oMoTJHNp30TgTG5adpnwFBOCG=UMA@mail.gmail.com>,memory.,neutral
<CAJLcJd_Fn_OWQoCYw5WKK02LO5-0U_jgjJDjBYQ0fGfDQPvgzg@mail.gmail.com>,memory --,positive
<2042369353.2870568.1705504667149@mail.yahoo.com>,dynamic allocation,neutral
<2042369353.2870568.1705504667149@mail.yahoo.com>,memory.,neutral
<CAJiQeYJhcF4-Z6Xo2D4_juvDwga97ii0eMCpqv8W+iN=DctyDw@mail.gmail.com>,scheduler,neutral
"
 <ME3PR01MB645094F81565865BBA48F075B5722@ME3PR01MB6450.ausprd01.prod.outlook.com>",structured streaming,neutral
<CAMknSHSRoiEF8PcfEQyGB3i7kC6wUaO_g61=8E5WxgSVRXqA8A@mail.gmail.com>,memory consumption,positive
<CAMknSHSRoiEF8PcfEQyGB3i7kC6wUaO_g61=8E5WxgSVRXqA8A@mail.gmail.com>,changing core,neutral
<A2483615-9A59-4009-9D06-0CFDA0B077E4@gmail.com>,structured streaming,neutral
<A2483615-9A59-4009-9D06-0CFDA0B077E4@gmail.com>,dstream,neutral
<CAJ3fcbCEdLzgXQpAcJ7B1ZG9nDMeBMPsWu-KONoa2t9VnUrQ-Q@mail.gmail.com>,structured streaming,neutral
<B10C7192-592B-42CB-BDBC-EFE2F6B32AB9@charter.com>,structured streaming,neutral
<4A2FDFB9-6BF5-49E4-BC99-A331E2CBFD35@charter.com>,structured streaming,neutral
<CANZ1GQduWQenuMO93EUSpD-KSx_J5-PEmVzTC529oea4NMqYEQ@mail.gmail.com>,micro-,neutral
<CABtZgytxBgsFZPw4VqrTz8GLHz18YQxwm7HPvQG+j0oZLZ1kFQ@mail.gmail.com>,structured streaming,neutral
<CAJ3fcbBQ_GNPHuTEFB732K8e+CR8nSd26nNQ+RKpaAof10TEOQ@mail.gmail.com>,structured streaming,negative
<CABtZgyvo+ggoGfs2qYEMR7v0hKpLYckMYH11Bgb1iwZDa6os4Q@mail.gmail.com>,structured streaming,neutral
<CABtZgyvo+ggoGfs2qYEMR7v0hKpLYckMYH11Bgb1iwZDa6os4Q@mail.gmail.com>,stateful streaming,neutral
<CAJ3fcbAVpm9SYhKRa7OjyudQ9czyHwa7bFont39CAfiVOGT=Kw@mail.gmail.com>,query statistics,neutral
<CABtZgys9H6GqYxy_1Mp_YmA9DYzWcZrpzSZ80P8A3oTXDBWaZA@mail.gmail.com>,streaming semantics,neutral
<CABtZgys9H6GqYxy_1Mp_YmA9DYzWcZrpzSZ80P8A3oTXDBWaZA@mail.gmail.com>,micro-,neutral
<CALKvMUWHgoZo2uHbj6YRnSfd6soBgZ-dVcm0riy09y0q_EYnDA@mail.gmail.com>,shuffle,negative
<CALKvMUWHgoZo2uHbj6YRnSfd6soBgZ-dVcm0riy09y0q_EYnDA@mail.gmail.com>,data skew,negative
<CAJ3fcbCCXGyQfEdmE_+bNRyfzjQtZBuGOziju1Cab=H5OBOPCg@mail.gmail.com>,shuffle,neutral
<CAJ3fcbCCXGyQfEdmE_+bNRyfzjQtZBuGOziju1Cab=H5OBOPCg@mail.gmail.com>,caching,neutral
<CADWNwo4UwJU0W9O3zD5Pi0ZAFrG9QX9tiWz2c48z9vkM7b9Ruw@mail.gmail.com>,micro-,positive
<CAFwuiCxtwnXva3Nr5vqZTt_t-uOOAk7vChAUQ6Q8oziTimDjvA@mail.gmail.com>,pyspark,neutral
<CAFwuiCxtwnXva3Nr5vqZTt_t-uOOAk7vChAUQ6Q8oziTimDjvA@mail.gmail.com>,-streaming,neutral
<CAJ3fcbCOtj-NBpyA2Qu0_7iNQtsi9u4wP8g2DOmUwXEtoG_5HA@mail.gmail.com>,"structured
",neutral
<CAJ3fcbCJpb9=3r_pBdp=bKZ9ZtA29xDdG5Qu_63_=akr3CRibA@mail.gmail.com>,pyspark,neutral
<CAJ3fcbCJpb9=3r_pBdp=bKZ9ZtA29xDdG5Qu_63_=akr3CRibA@mail.gmail.com>,dataframe,neutral
<CABtZgyu+FFjh-CYgTYh-yh5XVUPS5vc4ubsyJeufdC4RjjyaBw@mail.gmail.com>,structured streaming,positive
<CABfDjEAGQopQWZf65QD+T_ygMueBTKHY99hufA6OOTnGnUfnVA@mail.gmail.com>,dataframe,neutral
<CAJ3fcbAgOks0GrXZHo1GueTD4ZzBUfdoN3hVztymqK=UQRJXsA@mail.gmail.com>,dataframe,neutral
<CAJ3fcbAgOks0GrXZHo1GueTD4ZzBUfdoN3hVztymqK=UQRJXsA@mail.gmail.com>,shuffle,neutral
<CAFX8L22E6DJioWXMomKHU2u6w1z4BpOh_6P9sGTJur9_-465-w@mail.gmail.com>,pyspark,negative
<CAFX8L22E6DJioWXMomKHU2u6w1z4BpOh_6P9sGTJur9_-465-w@mail.gmail.com>,spark connect,negative
<CAF6oT1cr8PdHTZGRkeuf88psv6GNF54dvpSieeAJQ5KUzxO37Q@mail.gmail.com>,query execution,positive
<CAF6oT1fLxOTWbGCi+q3nSzA1+3AR1QGi2DF-NVX=eNRE1uKXhQ@mail.gmail.com>,shuffle,neutral
<CAF6oT1fLxOTWbGCi+q3nSzA1+3AR1QGi2DF-NVX=eNRE1uKXhQ@mail.gmail.com>,memory management,neutral
<CAF6oT1fiWx36tb_vvN2jouF0R5FMi7Xmq4VFzaZsrJzHBin4jQ@mail.gmail.com>,shuffle,neutral
<CAFX8L21cimZxGo5bFT0wY4kdhipcJXfKpQ3zNATZm7NL3Mhpug@mail.gmail.com>,pyspark,neutral
<CAEccTyzJM9jWJen41mey_dV_skDj3KXhhJ5y-2iS7H5a2o9+OA@mail.gmail.com>,spark connect,negative
<AF5501D9-C1FF-445E-9220-BCF31FEC2A50@baidu.com>,`connect,negative
<AF5501D9-C1FF-445E-9220-BCF31FEC2A50@baidu.com>,dataframe,negative
<AF5501D9-C1FF-445E-9220-BCF31FEC2A50@baidu.com>,spark connect,neutral
<AF5501D9-C1FF-445E-9220-BCF31FEC2A50@baidu.com>,pyspark,neutral
<B0294890-5B0F-45DC-AD4C-52BE6AB0CD1C@gmail.com>,structured streaming,neutral
<B0294890-5B0F-45DC-AD4C-52BE6AB0CD1C@gmail.com>,query execution,neutral
<CAJ3fcbB37kv3=jVFP3JAgK8bpPg4xmw8NA4QH5TGUxghhBbF-w@mail.gmail.com>,query execution,neutral
<CAJ3fcbB37kv3=jVFP3JAgK8bpPg4xmw8NA4QH5TGUxghhBbF-w@mail.gmail.com>,shuffle,negative
<CAF6oT1f8-RSCP8DaPWgqoEJ+_-jKsJU9Ho6nvz7KAimgDGJCcQ@mail.gmail.com>,shuffle,positive
<CAF6oT1f8-RSCP8DaPWgqoEJ+_-jKsJU9Ho6nvz7KAimgDGJCcQ@mail.gmail.com>,memory management,neutral
<CAF6oT1f8-RSCP8DaPWgqoEJ+_-jKsJU9Ho6nvz7KAimgDGJCcQ@mail.gmail.com>,scheduler,neutral
<EE2C7D72-5B14-4EB8-A80D-F3FB75514C1B@gmail.com>,caching,neutral
<CAJ3fcbAvHuVR+3c+yQJPH4yNkJXWkof5i4MOKqZqkmv5zsKghw@mail.gmail.com>,spark streaming,neutral
